SMILES_131,SMILES_442,SMILES_611,SMILES_909,SMILES_1235,SMILES_1759
,"['C=Cc1oc(c(c1O)O)C=C', 'COc1ccc2c(c1)csc2']","['CCc1cc2c(s1)c1c(c3c2cc(s3)CC)c2ccsc2c2c1ccs2', 'CC(c1ccc2c(c1)csc2)(C)C']","['C#Cc1sc2c(c1CC)scc2CC', 'CC(c1ccc2c(c1)csc2)(C)C']","['c1cc2c(s1)c1c(C2)cc2c(c1)Cc1c2scc1', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'C#Cc1cc2c(s1)c1c(C2)cc2c(c1)Cc1c2scc1']"
,"['COc1cc2cscc2cc1C', 'CCc1nc2c(nc1CC)c1ccsc1c1c2ccs1']","['c1scc2c(c1)cc1c2scc1', 'CC(c1ccc2c(c1)csc2)(C)C']","['c1cc2c(s1)c1c(s2)ccs1', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1scc2c1OCCO2', 'CC(c1ccc2c(c1)csc2)(C)C']","['Cc1cc2cscc2cc1C', 'CC(c1ccc2c(c1)csc2)(C)C']"
,"['s1cc2c(c1)nco2', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'Sc1ccc2c(c1)csc2']","['C#Cc1scc2c1SCCCO2', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'CS[C@@H]1CCOc2c(O1)c(C=C)sc2']","['C1COC2(O1)c1ccsc1c1c2ccs1', 'CCc1c2cc3ccsc3cc2c(c2c1cc1sccc1c2C=C)CC']"
,"['c1ccc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['Cc1ccc2c(c1)csc2', 's1cc2c(c1)ncs2']","['Cc1cc2c(s1)c(sc2)C#C', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'Oc1cc(oc1)C=C']","['C#Cc1sc2c(c1CC)scc2CC', 'Cc1ccc2c(c1)csc2']"
,"['C1CSc2c(O1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['CC1(C)c2ccsc2c2c1ccs2', 'CC(c1ccc2c(c1)csc2)(C)C']","['c1ccc2c(c1)csc2', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 'C=Cc1scc2c1scn2']","['C=Cc1cc2cscc2cc1C', 'C=CC1=CC2=C(C1)C=CC2']"
,"['Cc1cc2cscc2cc1C', 'COc1cc2cscc2cc1C']","['C1COc2c(O1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['s1cc2c(c1)ncs2', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 'Cc1cc2cscc2cc1C']","['Cc1ccc2c(c1)csc2', 'C=CC1=CC2=C(C1)C=CC2']"
,"['C=Cc1cc2cscc2cc1C', 'C1SSc2c(O1)csc2']","['Cc1cc2cscc2cc1C', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 's1cc2c(c1)ncs2']","['COc1cc2cscc2cc1OC', 'C1COc2c(SC1)csc2']","['CCc1c2cc3ccsc3cc2c(c2c1cc1sccc1c2C=C)CC', 'C#Cc1cc2c(s1)c1c(C2)cc2c(c1)Cc1c2scc1']"
,"['C=Cc1cc2cscc2cc1C', 'C=Cc1oc(c(c1O)O)C=C']","['Cc1cc2cscc2cc1C', 'COc1cc2cscc2cc1OC']","['s1cc2c(c1)cco2', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'C=Cc1scc2c1OCCO2']","['COc1cc2cscc2cc1C', 'C=CC1=CC2=C(C1)C=CC2']"
,"['COc1cc2cscc2cc1C', 'c1ccc2c(c1)csc2']",['COc1cc2cscc2cc1OC'],"['COc1cc2cscc2cc1OC', 'Oc1ccc(c2c1csc2)S']","['COc1cc2cscc2cc1OC', 'C=Cc1coc2c1CC2']","['C#Cc1cc2c(s1)c1c(C2)cc2c(c1)Cc1c2scc1', 'Cc1ccc2c(c1)csc2']"
,"['Cc1cc2cscc2cc1C', 'C=Cc1cc2cscc2cc1C']","['C1COC2(O1)c1ccsc1c1c2ccs1', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'Sc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 'c1cc2c(s1)c1c(C2)ccc2c1c1sccc1C2']","['C=Cc1cc2c(s1)c1c(C2)ccc2c1c1sccc1C2', 'C=Cc1cc2cscc2cc1C']"
,"['C=Cc1cc2cscc2cc1C', 'Sc1cccc2c1csc2']","['C1=Cc2c(C1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['CCSc1cc2cscc2cc1SCC', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1c(C=C)occ1OC', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'C=Cc1cc2c(s1)c1c(C2)ccc2c1c1sccc1C2']"
,"['COc1cc2cscc2cc1C', 'C=Cc1oc(c(c1O)O)C=C']","['O=Cc1cccs1', 'CC(c1ccc2c(c1)csc2)(C)C']","['Sc1ccc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['CCc1cc2c(s1)c1c(c3c2cc(s3)CC)c2ccsc2c2c1cc(s2)C=C', 'C=Cc1cc2cscc2cc1C']","['C=Cc1cc2cscc2cc1C', 'C#Cc1cc2c(s1)c1c(C2)cc2c(c1)Cc1c2scc1']"
,"['c1cc2c(o1)ccs2', 'COc1cc2cscc2cc1C']","['C#Cc1ccc(s1)C#C', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1cc2cscc2cc1C', 'C#Cc1scc2c1scn2']","['C1COC2(O1)c1ccsc1c1c2ccs1', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'C=CC1=CC2=C(C1)C=CC2']"
,"['COc1cc2cscc2cc1C', 'Sc1cccc2c1csc2']","['C=Cc1oc(c(c1O)O)C=C', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1oc(c(c1O)O)C=C', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1C', 'Cc1ccc2c(c1)csc2']","['C#Cc1cc2c(s1)c1c(C2)cc2c(c1)Cc1c2scc1', 'CC(c1ccc2c(c1)csc2)(C)C']"
,"['Oc1ccc(c2c1csc2)S', 'CC(c1ccc2c(c1)csc2)(C)C']","['CCc1c(C=C)scc1CC', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1ccc2c(c1)csc2', 'COc1ccc2c(c1)csc2']","['C=Cc1coc2c1CC2', 'CC(c1ccc2c(c1)csc2)(C)C']","['C#Cc1sc2c(c1CC)scc2CC', 'CCc1c2cc3ccsc3cc2c(c2c1cc1sccc1c2C=C)CC']"
,"['c1ccc2c(c1)csc2', 'COc1ccc2c(c1)csc2']","['C=Cc1cccs1', 'CC(c1ccc2c(c1)csc2)(C)C']","['Cc1cc2cscc2cc1C', 'COc1ccc2c(c1)csc2']","['C=Cc1cc2cscc2cc1C', 'COc1ccc2c(c1)csc2']","['Oc1cc(oc1)C=C', 'CC(c1ccc2c(c1)csc2)(C)C']"
,"['COc1cc2cscc2cc1OC', 'C=Cc1ccc2c(c1)csc2']","['CCc1c2cc3sccc3cc2c(c2c1cc1ccsc1c2)CC', 'CC(c1ccc2c(c1)csc2)(C)C']","['s1cc2c(c1)cco2', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 'C=Cc1scc2c1ncs2']","['C=Cc1cc2c(s1)c1c(C2)ccc2c1c1sccc1C2', 'CCc1c2cc3ccsc3cc2c(c2c1cc1sccc1c2C=C)CC']"
,"['COc1cc2cscc2cc1C', 's1cc2c(c1)nco2']","['c1cc2c(s1)cc[nH]2', 'CC(c1ccc2c(c1)csc2)(C)C']","['C#CC=Cc1oc(c(c1O)O)C=C', 'COc1ccc2c(c1)csc2']","['Cc1cc2c(s1)c(sc2)C=C', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'C#Cc1sc2c(c1CC)scc2CC']"
,"['s1cc2c(c1)cc[nH]2', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1C', 's1cc2c(c1)ncs2']","['C=Cc1cc2cscc2cc1C', 's1cc2c(c1)ncs2']","['C1COC2(O1)c1ccsc1c1c2ccs1', 'C=Cc1cc2cscc2cc1C']","['CCc1c2cc3ccsc3cc2c(c2c1cc1sccc1c2C=C)CC', 'COc1coc(c1)C=C']"
,"['C=Cc1cc2cscc2cc1C', 'c1ccc2c(c1)csc2']","['CC(=O)c1cccc2c1csc2', 'COc1ccc2c(c1)csc2']","['C=Cc1cc2cscc2cc1C', 'Cc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1OC', 'c1cc2c(s1)c1c(s2)ccs1']","['Cc1cc2cscc2cc1C', 'C=Cc1cc2cscc2cc1C']"
,"['COc1cc2cscc2cc1C', 'CC1(C)c2ccsc2c2c1ccs2']","['c1ccccc1', 'CC(c1ccc2c(c1)csc2)(C)C']","['CC(=O)c1cccc2c1csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['C1SSc2c(O1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['C#Cc1c(N)ccc2c1csc2', 'Cc1ccc2c(c1)csc2']"
,"['c1cc2c(o1)cco2', 'CC(c1ccc2c(c1)csc2)(C)C']","['CCOC(=O)c1sc2c(c1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1OC', 'C1SSc2c(O1)csc2']","['COc1cc2cscc2cc1OC', 'c1cc2c(s1)c1c(C2)cc2c(c1)Cc1c2scc1']","['C=CC1=CC2=C(C1)C=CC2', 'CC(c1ccc2c(c1)csc2)(C)C']"
,"['COc1cc2cscc2cc1C', 'C1=CC2=C(C1)N=CC2']","['CS[C@@H]1CCOc2c(O1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['Cc1cc2c(s1)c(sc2)C#C', 'C=Cc1cc2cscc2cc1C']","['c1cc2c(s1)c1c(s2)ccs1', 'CC(c1ccc2c(c1)csc2)(C)C']","['COc1cc2cscc2cc1C', 'C#Cc1cc2c([nH]1)ccs2']"
,"['COc1cc2cscc2cc1OC', 'Oc1ccc(c2c1csc2)S']","['C1SSc2c(O1)csc2', 'CC(c1ccc2c(c1)csc2)(C)C']","['CCC1(CC)c2ccsc2c2c1ccs2', 'CC(c1ccc2c(c1)csc2)(C)C']","['C=Cc1cc2cscc2cc1C', 'c1cc2c(s1)c1c(s2)ccs1']","['CCc1cc2c(s1)c1c(c3c2cc(s3)CC)c2ccsc2c2c1cc(s2)C=C', 'CC(c1ccc2c(c1)csc2)(C)C']"
,"['C=Cc1oc(c(c1O)O)C=C', 'CC(c1ccc2c(c1)csc2)(C)C']","['s1cc2c3c1ccc1c3c(cc2)cs1', 'CC(c1ccc2c(c1)csc2)(C)C']","['C#Cc1scc2c1scn2', 'COc1ccc2c(c1)csc2']","['COc1cc2cscc2cc1C', 'c1ccc2c(c1)csc2']","['CCSc1cc2cscc2cc1SCC', 'COc1cc2cscc2cc1C']"
