File ID	SMILES	HOMO (eV)	LUMO (eV)	Trans (eV)	Osc	...
20	20 c1sc(c2c1SCCCS2)c1sc(c2c1SCCCS2)c1sc(c2c1SCCCS2)c1sc(c2c1SCCCS2)	-7.663814	0.240821	3.785900	0.757800	4.053700	0.086500	4.221900	0.030900	4.245200	0.074700	4.314100	0.015700	4.323300	0.031500	4.402000	0.022000	4.440900	0.019800	4.631900	0.001000	4.643600	0.003700	4.770700	0.003900	4.782000	0.005000	4.929500	0.003500	4.946600	0.002100	5.020600	0.006200
21	21 c1cc2c(s1)c1c(C2)ccc2c1c1c(C2)cc(s1)c1cc2c(s1)c1c(C2)ccc2c1c1c(C2)cc(s1)c1cc2c(s1)c1c(C2)ccc2c1c1c(C2)cc(s1)c1cc2c(s1)c1c(C2)ccc2c1c1c(C2)cc(s1)	-6.356307	-1.010359	2.267500	1.736100	2.502000	0.169700	2.777000	1.426900	3.169800	0.010000	3.335400	1.160300	3.462200	0.000300	3.512900	0.031900	3.518500	0.005100	3.617400	0.007200	3.621700	0.000100	3.672200	0.363600	3.735700	0.001200	3.804300	0.000500	3.837300	0.007100	3.889200	0.000100
22	22 c1sc(c2c1ocn2)c1sc(c2c1ocn2)c1sc(c2c1ocn2)c1sc(c2c1ocn2)	-6.527467	-1.293901	2.251500	1.281000	3.003800	0.000000	3.357200	0.261000	3.455200	0.005700	3.552400	0.028000	3.897300	0.040700	3.999600	0.228000	4.098000	0.103200	4.258500	0.025700	4.272300	0.005500	4.371300	0.000000	4.397400	0.001000	4.438400	0.013600	4.498400	0.016000	4.562300	0.362200
23	23 c1sc(c2c1cc(C(=O)C)cc2)c1sc(c2c1cc(C(=O)C)cc2)c1sc(c2c1cc(C(=O)C)cc2)c1sc(c2c1cc(C(=O)C)cc2)	-6.706518	-1.645472	2.030600	0.994600	2.521000	0.069900	2.833900	0.263800	2.923800	0.003000	2.989600	0.005300	3.028700	0.000500	3.077500	0.000400	3.115500	0.000400	3.130700	0.001500	3.199700	0.047800	3.341600	0.009000	3.527100	0.083700	3.542100	0.132400	3.645400	0.036000	3.858500	0.039600
24	24 C(=C)N=NC(=C)N=NC(=C)N=NC(=C)N=N	-9.034724	-1.177164	2.234100	0.001300	2.399700	0.006200	2.424300	0.004900	2.520600	0.000000	4.137500	0.203000	4.243700	0.194000	4.307600	0.549400	4.571900	0.001200	4.651400	0.033100	4.711300	0.505600	5.148400	0.157000	5.433200	0.002500	5.462400	0.003500	5.563000	0.008300	5.698300	0.044700
25	25 c1sc(c2c1c(C#N)ccc2C#N)c1sc(c2c1c(C#N)ccc2C#N)c1sc(c2c1c(C#N)ccc2C#N)c1sc(c2c1c(C#N)ccc2C#N)	-7.699461	-1.899899	2.350600	0.979300	2.561300	0.089400	2.695900	0.254300	2.697900	0.010900	2.983800	0.000100	2.991800	0.000300	3.097100	0.000100	3.097600	0.001300	3.164600	0.000000	3.165900	0.002500	3.701900	0.029100	3.820000	0.056200	3.975300	0.026500	3.978900	0.016500	4.030700	0.009500
26	26 c1sc(c(c1N(=O)=O)C#N)c1sc(c(c1N(=O)=O)C#N)c1sc(c(c1N(=O)=O)C#N)c1sc(c(c1N(=O)=O)C#N)	-8.548456	-3.432172	0.961000	0.001500	1.093300	0.004300	1.232900	0.004800	2.058900	0.488700	2.199600	0.027100	2.238700	0.010800	2.359000	0.137400	2.508900	0.000900	2.523300	0.014900	2.564000	0.140100	2.579700	0.141900	2.650600	0.057900	2.735700	0.000600	2.899400	0.045700	3.107600	0.005600
28	28 c1sc(c2c1S(=O)(=O)CCC2)c1sc(c2c1S(=O)(=O)CCC2)c1sc(c2c1S(=O)(=O)CCC2)c1sc(c2c1S(=O)(=O)CCC2)	-7.148703	-1.658806	2.250300	0.813100	2.579100	0.099000	2.627100	0.064000	2.643900	0.031700	3.084400	0.030500	3.373900	0.014400	3.420400	0.039300	3.459400	0.037700	3.592500	0.026200	3.692000	0.144800	3.729400	0.002900	3.760000	0.029400	3.791800	0.000600	3.824300	0.025700	3.826500	0.093800
29	29 C1=C([CH]S1)C(=C)C1=C([CH]S1)C(=C)C1=C([CH]S1)C(=C)C1=C([CH]S1)C(=C)	-7.864634	-0.384225	3.864900	0.128100	3.988400	0.482900	4.288900	0.245700	4.447100	0.434300	4.772600	0.163500	4.887200	0.004500	4.925300	0.038500	5.005700	0.011900	5.035300	0.025700	5.137000	0.005400	5.225900	0.050600	5.264700	0.018800	5.306800	0.039700	5.378800	0.047500	5.428100	0.139000
30	30 c1sc(c2c1CCC[C@H]2O)c1sc(c2c1CCC[C@H]2O)c1sc(c2c1CCC[C@H]2O)c1sc(c2c1CCC[C@H]2O)	-7.772932	0.185582	3.833600	0.794900	4.104600	0.080100	4.301900	0.066400	4.337800	0.061000	4.412400	0.005200	4.460200	0.002600	4.507300	0.016900	4.524700	0.003500	4.658400	0.003200	4.744600	0.007200	4.928500	0.015300	4.958400	0.024400	5.062600	0.012600	5.107400	0.008500	5.149200	0.000100
33	33 c1c(c2c(s1)[C@H]1[C@H](C2(CC)CC)CCS1)c1c(c2c(s1)[C@H]1[C@H](C2(CC)CC)CCS1)c1c(c2c(s1)[C@H]1[C@H](C2(CC)CC)CCS1)c1c(c2c(s1)[C@H]1[C@H](C2(CC)CC)CCS1)	-6.972373	-0.069661	3.296000	0.160000	3.527300	0.309800	3.746600	0.432600	3.942600	0.230700	4.023300	0.087600	4.191300	0.007900	4.287300	0.006500	4.362000	0.001700	4.414200	0.015800	4.593000	0.006300	4.701800	0.056100	4.753700	0.010900	4.790800	0.082100	4.823400	0.009800	4.865400	0.035400
34	34 C1SC[C@@H]2[C@H]1[C](O[C@@H]2[O])NCCC1SC[C@@H]2[C@H]1[C](O[C@@H]2[O])NCCC1SC[C@@H]2[C@H]1[C](O[C@@H]2[O])NCCC1SC[C@@H]2[C@H]1[C](O[C@@H]2[O])NCC	-9.472011	-0.404633	3.251000	0.000100	3.260200	0.000100	3.291900	0.000000	3.304700	0.000100	3.777000	0.001400	3.797300	0.001100	3.837800	0.000500	3.869700	0.000700	5.900900	0.160500	6.006900	0.247400	6.033300	0.209200	6.126900	0.219900	6.432800	0.007300	6.551500	0.009300	6.589500	0.003300
35	35 c1sc2c(c3ccoc3cc2c1)c1sc2c(c3ccoc3cc2c1)c1sc2c(c3ccoc3cc2c1)c1sc2c(c3ccoc3cc2c1)	-7.344625	-0.532799	3.578900	0.839300	3.602600	0.550700	3.626800	0.918000	3.726900	0.036200	3.740700	0.044500	3.761600	0.080100	3.860300	0.419200	3.881600	0.068900	4.279800	0.149200	4.462300	0.031100	4.568800	0.227300	4.698600	0.010700	4.730900	0.016300	4.759600	0.004900	4.823300	0.147100
36	36 C=NNc1ccc(cc1)C=NNc1ccc(cc1)C=NNc1ccc(cc1)C=NNc1ccc(cc1)	-7.156866	-0.466131	3.309700	1.254900	3.647000	1.372200	3.959600	0.025500	4.089200	0.029000	4.095900	0.036100	4.133400	0.022700	4.268700	0.040200	4.457600	0.131400	4.563900	0.001500	4.642900	0.044000	4.705800	0.010200	4.710700	0.003600	4.717800	0.029400	4.810800	0.045500	4.824800	0.014500
37	37 c1sc(C(F)(F)F)cc1c1sc(C(F)(F)F)cc1c1sc(C(F)(F)F)cc1c1sc(C(F)(F)F)cc1	-8.202872	-1.244104	3.327100	0.212600	3.866700	0.452200	4.091500	0.246000	4.099800	0.061100	4.212800	0.186800	4.526400	0.006000	4.673300	0.120900	4.711100	0.119800	4.738700	0.001400	4.944100	0.002100	4.953900	0.011900	4.995700	0.032600	5.034900	0.016200	5.091000	0.013500	5.169700	0.021000
